# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
506	-1821	3606	-2168
507	-1810	3684	-2178
508	-1810	3684	-2178
509	-1756	3737	-2164
510	-1747	3846	-2165
511	-1730	3881	-2168
512	-1730	3881	-2168
513	-1765	3942	-2154
514	-1735	4056	-2113
515	-1712	4159	-2125
516	-1686	4291	-2077
517	-1686	4291	-2077
518	-1656	4438	-2014
519	-1606	4519	-1998
520	-1580	4583	-1969
521	-1580	4583	-1969
522	-1566	4623	-1969
523	-1529	4736	-1943
524	-1496	4859	-1856
525	-1444	4948	-1748
526	-1444	4948	-1748
527	-1416	5064	-1673
528	-1342	5123	-1555
529	-1347	5198	-1563
530	-1347	5198	-1563
531	-1357	5238	-1568
532	-1353	5281	-1528
533	-1391	5289	-1457
534	-1400	5344	-1424
535	-1400	5344	-1424
536	-1454	5407	-1401
537	-1469	5439	-1362
538	-1490	5511	-1293
539	-1490	5511	-1293
540	-1492	5530	-1212
541	-1481	5570	-1170
542	-1475	5589	-1175
543	-1477	5664	-1057
544	-1477	5664	-1057
545	-1535	5642	-1107
546	-1546	5694	-1082
547	-1575	5693	-1046
548	-1575	5693	-1046
549	-1629	5752	-1032
550	-1582	5771	-1066
551	-1585	5767	-1013
552	-1589	5817	-983
553	-1589	5817	-983
554	-1594	5839	-907
555	-1630	5842	-919
556	-1627	5867	-897
557	-1627	5867	-897
558	-1645	5880	-813
559	-1659	5938	-752
560	-1702	6004	-663
561	-1709	6023	-575
562	-1709	6023	-575
563	-1719	6077	-425
564	-1733	6092	-316
565	-1712	6135	-143
566	-1712	6135	-143
567	-1741	6196	0
568	-1771	6237	122
569	-1773	6239	246
570	-1824	6226	279
571	-1824	6226	279
572	-1851	6190	295
573	-1911	6207	314
574	-1903	6188	382
575	-1903	6188	382
576	-1914	6169	424
577	-1949	6140	538
578	-1959	6135	668
579	-1961	6155	735
580	-1961	6155	735
581	-1864	6168	701
582	-1742	6185	694
583	-1633	6164	724
584	-1633	6164	724
585	-1504	6092	794
586	-1342	6015	911
587	-1207	5937	1064
588	-1027	5809	1194
589	-1027	5809	1194
590	-873	5693	1313
591	-747	5619	1420
592	-609	5462	1485
593	-609	5462	1485
594	-499	5318	1600
595	-405	5183	1728
596	-372	5022	1864
597	-334	4882	1959
598	-334	4882	1959
599	-347	4702	2134
600	-373	4539	2270
601	-424	4369	2410
602	-424	4369	2410
603	-538	4185	2550
604	-616	4000	2638
605	-695	3813	2735
606	-819	3600	2832
607	-819	3600	2832
608	-882	3335	2912
609	-980	3111	2955
610	-1104	2863	3057
611	-1104	2863	3057
612	-1194	2732	2977
613	-1209	2583	2994
614	-1250	2488	2961
615	-1249	2393	2947
616	-1249	2393	2947
617	-1263	2272	2926
618	-1312	2222	2931
619	-1393	2141	2900
620	-1393	2141	2900
621	-1467	2041	2901
622	-1593	1972	2909
623	-1703	1915	2929
624	-1786	1892	2936
625	-1786	1892	2936
626	-1843	1840	2988
627	-1914	1843	2962
628	-2011	1840	2989
629	-2011	1840	2989
630	-2104	1822	2939
631	-2153	1804	2941
632	-2270	1798	2935
633	-2388	1795	2895
634	-2388	1795	2895
635	-2523	1766	2849
636	-2675	1693	2868
637	-2859	1670	2765
638	-2859	1670	2765
639	-3041	1678	2671
640	-3217	1676	2624
641	-3381	1717	2568
642	-3557	1716	2489
643	-3557	1716	2489
644	-3659	1735	2433
645	-3760	1786	2358
646	-3861	1740	2271
647	-3861	1740	2271
648	-3986	1736	2172
649	-4100	1742	2056
650	-4198	1734	1904
651	-4344	1668	1782
652	-4344	1668	1782
653	-4427	1660	1661
654	-4530	1651	1437
655	-4641	1638	1289
656	-4641	1638	1289
657	-4692	1653	1196
658	-4721	1679	1102
659	-4782	1619	1038
